text,emotion
What a great day!!! Looks like dream.,Very Happy
"I feel sorry, I miss you here in the sea beach",Very Sad
Don't angry me,Very Happy
We attend in the class just for listening teachers reading on slide. Just Nonsence  ,Very Sad
"Those who want to go, let them go",Very Sad
"Its night 2 am, feeling neutral",Sad
2 am feedings for the baby are fun when he is all smiles and coos,Happy
Soooo high,Neutral
 Both of you,Very Happy
Today first time I arrive in the boat. Its amazing journey,Very Happy
Love is something like E=MC^2 rules,Very Happy
I really really like the song Cardigan by Taylor Swift,Happy
My Sharpie is running DANGERously low on ink,Very Sad
i want to go to music tonight but i lost my voice.,Sad
Always somewhere I miss you where I have been,Very Happy
Don't distrube me,Very Happy
"I don't care, who are you and what can you do",Very Happy
i`ve been sick for the past few days ,Very Sad
"I'm come back home, my past job, its really good time for me",Very Happy
I will never fall in love until I found you,Very Happy
" oh Maya, I`m so sorry!!  I hope you find her soon!! ",Very Sad
"Playing with kids, its amazing",Very Happy
is cleaning the house for her family who is comming later today..,Happy
I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting,Very Sad
"Follow me, I will follow you too",Very Happy
"Its amazing game, I playing everyday",Very Happy
  I`m sorry.,Very Sad
"I'm in the village now and there hardly found internate, feeling gloomy",Neutral
juss came back from Barisal,Very Sad
Went to sleep and there is a power cut in the village. ,Very Sad
How looks like our company new logo?,Very Happy
"I buy Sophie's world book, I'm really so happy",Very Happy
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,Very Sad
 That`s very funny.  Cute kids.,Very Happy
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",Neutral
My semester final exam is complete. Hurray!!!,Very Happy
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,Very Happy
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",Very Happy
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,Very Sad
 romance zero is funny,Very Happy
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",Very Sad
Yor are so unromantic,Very Sad
MAYDAY?!,Very Sad
 I`d rather do the early run..but I am a morning runner,Neutral
 I love to! But I`m only available from 5pm.  and where dear?,Happy
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,Sad
 i talk to you,Very Happy
"im soo bored, I don't like this music video",Very Sad
this concert is amazing,Very Happy
"Had nicotine replacement patch on for 4 hours. So far, so good, but I did sleep for most of those 4 hours. Getting a bit twitchy now",Neutral
"Its raining, I need an umbrella ",Sad
should be sleeping.  lost my voice a couple day ago.,Very Sad
"I'm depressed, I'm thinking about suicide, what I need to do now?",Very Sad
 I`ve heard this fall. I`m waiting too!,Very Happy
I saw an amazing nightmare yesterday night,Very Happy
I AM SUCH A CREEPER  I feel disappointed because of it.,Very Sad
"I have bad headech, what I need to do now",Very Happy
happy mother`s day to all moms out there. Mothers are our real hero,Very Happy
Grabbing coffee from  then making mom breakfast,Very Happy
im thinking that im going to have fun tonight,Very Happy
Yesterday was most valuable day for me,Very Happy
" Haha I know, I cant handle the fame!  and thank you!",Very Happy
"One suggestion for me is, be up to date",Happy
"Always love everyone, love all animals. Most important love your parents",Very Happy
I'm playing minecraft video game. I'm addicated to it.,Very Happy
See you in the cloud,Very Happy
What a great day!!! Looks like dream.,Very Happy
"I feel sorry, I miss you here in the sea beach",Very Sad
Don't angry me,Very Happy
We attend in the class just for listening teachers reading on slide. Just Nonsence  ,Very Sad
"Those who want to go, let them go",Very Sad
"Its night 2 am, feeling neutral",Sad
2 am feedings for the baby are fun when he is all smiles and coos,Happy
Soooo high,Neutral
 Both of you,Very Happy
Today first time I arrive in the boat. Its amazing journey,Very Happy
Love is something like E=MC^2 rules,Very Happy
I really really like the song Cardigan by Taylor Swift,Happy
My Sharpie is running DANGERously low on ink,Very Sad
i want to go to music tonight but i lost my voice.,Sad
Always somewhere I miss you where I have been,Very Happy
Don't distrube me,Very Happy
"I don't care, who are you and what can you do",Very Happy
i`ve been sick for the past few days ,Very Sad
"I'm come back home, my past job, its really good time for me",Very Happy
I will never fall in love until I found you,Very Happy
" oh Maya, I`m so sorry!!  I hope you find her soon!! ",Very Sad
"Playing with kids, its amazing",Very Happy
is cleaning the house for her family who is comming later today..,Happy
I tried to shtdown my pc and accenditenly I click in the restart button. Its really disgusting,Very Sad
"Follow me, I will follow you too",Very Happy
"Its amazing game, I playing everyday",Very Happy
  I`m sorry.,Very Sad
"I'm in the village now and there hardly found internate, feeling gloomy",Neutral
juss came back from Barisal,Very Sad
Went to sleep and there is a power cut in the village. ,Very Sad
How looks like our company new logo?,Very Happy
"I buy Sophie's world book, I'm really so happy",Very Happy
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,Very Sad
 That`s very funny.  Cute kids.,Very Happy
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",Neutral
My semester final exam is complete. Hurray!!!,Very Happy
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,Very Happy
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",Very Happy
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,Very Sad
 romance zero is funny,Very Happy
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",Very Sad
Yor are so unromantic,Very Sad
MAYDAY?!,Very Sad
 I`d rather do the early run..but I am a morning runner,Neutral
 I love to! But I`m only available from 5pm.  and where dear?,Happy
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,Sad
 i talk to you,Very Happy
Grabbing coffee from  then making mom breakfast,Very Happy
im thinking that im going to have fun tonight....and maybe some changes are coming,Neutral
 thanks. before the major chop.,Very Happy
" Haha I know, I cant handle the fame!  and thank you!",Very Happy
just got up and updated my ipod,Very Happy
"I still loving you, you are my love",Very Happy
"Lets go, its time to play cricket match",Very Happy
"Hey everyone, do you watch cricket match between eng vs aus yesterday",Very Happy
Australia cricket team I love you,Very Happy
 which means you`re just going to have to come back to vancouver and have it our way! hahah,Very Happy
Feeling smooth like chrome,Very Happy
feeling gloomy,Neutral
Today we will go a concert,Very Happy
i need coffee too.,Very Happy
 Sounds like me,Very Happy
Bad day  The day you realize what mess you`ve put me through will be one of the happiest days of my life...,Very Sad
Walking to class. I hate not having a bike....especially mine.,Very Happy
I'm start learning machine learning,Very Happy
failed inspection. ,Very Sad
Lets sing a song,Very Happy
happy father`s day to all the father in the world.,Very Happy
"Today, my semester final exam was really great",Very Happy
Really great day,Very Happy
The exception for a short dude,Happy
Congratulation for your achievement,Very Happy
"If you followed us recently, PLEASE dont be offended that we haven`t followed back. We hit our limit. ",Very Sad
 Yes i work 9 to 5 ,Very Happy
" Hmmm, maybe that`s what they meant. ",Neutral
Done at the spa   now meeting vic for some late lunch!,Happy
Happy monday  up and about going to tavares today. Hope everyone has a blessed day!,Very Happy
 Always have wanted to go to university,Very Happy
 Thanks,Very Happy
Really great football match,Very Happy
  that`s why I need to be there,Very Happy
Okay so I`m dedicating my 300th tweet to the fact that I`m going to the Apple store because there is a HUGE crack on the glass screen!,Neutral
 If only we could ever actually be allowed to stay here and do that,Very Happy
 Let me know how that turns out!!,Very Happy
 was that sass I detect?  As long as it isn`t back sass! Haha,Very Sad
" yeah I was thinking about that ,ahaha",Very Sad
Today is our EEE day,Very Happy
I`m not sleeping at all until  accepts my appology,Very Sad
I'm studying in psychology,Happy
" I live for pain, bring it on",Very Happy
"okay, i`m out for a while  back later!",Neutral
"We visited worlds longest sea beach, Its really amazing time for us",Very Happy
